"Chinese.origin.data","Google.translated.data","Google.Chinese.sentiment.analysis.score.base.on.Chinese.origin.data.","Google.English.sentiment.analysis.score.base.on.Google.translated.data."
"(⊙o⊙)…不懂为什么有人说他看着从开头笑到结尾，难道是我笑点太高？","(⊙ o ⊙) ... do not understand why some people say he looked from the beginning to the end of laughter, is it my point of laughter too high?",-0.200000003,0.200000003
"(>_<)当时在海口取景路过过诶~","(&gt; _ &lt;) Was seized in Haikou passing 诶 ~",0.600000024,-0.100000001
"（编剧导演）自我感觉表达得很好的嬉笑怒骂有内涵吐槽冷笑话集？完全没戳中笑点...","(Screenwriter Director) Self-expression is very good expression of ridicule Connotation Tucao joke set? No jokes, no joke ...",0.100000001,-0.300000012
".Hint：看完第三个故事就该提前离场·····. ~","Hint: It 's time to leave early after reading the third story",0.100000001,-0.200000003
".哪有你们说的那么难看.，三星给范伟和宋丹丹，一星给三亚美景。范伟那段大大点赞，为能在大荧幕上看见如此露骨的官场讽刺而赞，台词写的太中国式官场了。","How can you say so ugly, Samsung to Fan Wei and Song Dandan, a star to the beauty of Sanya. Fan Wei was greatly praised during that period, in order to be able to see on the big screen so abusive official irony and praise, the lines are too Chinese-style officialdom.",0.200000003,-0.200000003
".就为了看郑恺系列.只能说……很力不从心的感觉……什么奇怪的画风都……","In order to see Zheng Kai series. Can only say ... ... feeling very powerless ...... What a strange style ...",0.300000012,-0.100000001
".影评.老老实实地搞笑多好，何必最后强硬说教。","Film critics. Honestly funny how good, why last hard talk.",-0.200000003,0.300000012
".心~影. 如果这不是冯小刚导演的作品，如果不是观众期待太高。其实，拿此片和好些国产片比，我觉得还是强很多的。。。","Heart ~ shadow If this is not Feng Xiaogang director's work, if not the audience expect too much. In fact, take this film and better than the domestic film, I think it is still much stronger. . .",0.200000003,-0.100000001
".私人定制.5分，有人说这电影看的满腔怒火，那可能是他早有怒火。这剧不涉及意识形态。有人说从电影角度讲它绝对零分，其实不然，开始乱的第二段完全靠剪辑支撑，电影的剪辑是合格的。能起作用的地方都尽力了。范伟第一段是合格的。王朔挽歌，不会写类型喜剧的编剧以后都逐渐要被淘汰【分数范围4-5分】","Private custom .5 points, some people say that the movie looked full of anger, it may be that he had long anger. This drama does not involve ideology. Some people say that it absolutely points from the film point of view, it is not true, began the chaos of the second paragraph entirely by the clip support, the film's clip is qualified. Wherever it works, I try my best. Fan Wei first paragraph is qualified. Wang Shuo elegy, will not write the type of comedy writers gradually have to be eliminated after the score range of 4-5 points",-0.200000003,0.100000001
".私人订制.就是部主题系列小品集。抗腐这段黑色幽默明讽暗贬我觉着算是最出彩的一节，尤其秘书接茬那句：XX属狗！弃俗求雅里不知道小刚是不是在自嘲。然后最要命的是这的剪辑，不伦不类杂烩一锅端，明星主持轮番炒。最后让人人看看有钱财奴如何荒度余生。PS.奉送环节是小刚真的在给进影院的观众道歉","Private custom. Is part of the theme series essays. Anti-corrosion of this dark humor Ming irony devaluation I think it is the most colorful section, especially the Secretary then stubble phrase: XX is a dog! Abandoned Ali seeking do not know Xiao Gang is not self-deprecating. Then the most terrible thing is this clip, unscrupulous pot of fry, the stars chaotic fried round. Finally, let everyone see how wealthy slaves spent the rest of their lives. PS. Send part of the small Gang really apologize to the audience in the cinema",0.200000003,-0.100000001
