"Chinese.origin.data","Google.translated.data","Google.Chinese.sentiment.analysis.score.base.on.Chinese.origin.data.","Google.English.sentiment.analysis.score.base.on.Google.translated.data."
"2013最后一场电影 就为恶心画一句号吧","Let's take a look at the last movie of 2013.",-0.800000012,0.800000012
"一直想看没有高清的终于高清出来了看完了觉得不看也就那样","Always wanted to see no high-definition finally came out after watching do not look like it",0.899999976,-0.800000012
"三个故事没有连贯性也就罢了，最后环保宣传用心是好的，但是很突兀啊。。。","The three stories are not coherent there, finally the intention of environmental advocacy is good, but very awkward ah. . .",0.899999976,-0.899999976
"不完整，情节过于碎片化，不过我喜欢郑恺","Incomplete, the plot is too fragmented, but I like Zheng Kai",0.800000012,-0.899999976
"不是很好看 不过很讽刺有点深度","Not very good-looking but very ironic a bit deep",0.800000012,-0.800000012
"个人意见，如果想看的同学们可以去买各种打折团购之类的票，因为真心不值票价","Personal opinion, if you want to see the students can buy all kinds of discount buy tickets, because the true worthless fare",0.800000012,-0.800000012
"为贪污腐败和商业大俗片辩护的一部元素太多深度太浅的电影。","An element too deep and too shallow to justify corruption and commercial tyranny.",0.800000012,-0.800000012
"亮点不够多，三个故事之间有衔接会更好～","Not enough highlights, there will be a better link between the three stories ~",0.800000012,-0.800000012
"今年的春晚还会精彩吗。。","Spring Festival this year will be wonderful it. .",-0.800000012,0.899999976
"其实嘲讽现实很明显 第二个故事看得要闷笑 最后做圣母教育观众有点突兀 冯导是想说看得懂这片的都是俗人么","In fact, ridicule reality is obviously the second story to be nibbling Finally, the Church of Our Lady of education a bit unexpected Feng guide is to see that this is a piece of vulgar",0.800000012,-0.800000012
"其实我不想打这么高分的，在我眼里7.0-7.5算是合适的分数，只不过看到现在的豆瓣评分太缺乏真实性了，这部电影还是有笑点，有想法，有些许感动，觉不至于这么低分","In fact, I do not want to play such a high score, in my opinion 7.0-7.5 be considered a suitable score, but to see the current watercress score is too lacking in authenticity, the film is still funny, have ideas, a little touched, Feel so low score",0.800000012,-0.800000012
"其实片子没你们说的那么难看，只是冯小刚想表达的东西太多了，反正看着还算开心","In fact, the film did not you say so ugly, but Feng Xiaogang want to express too many things, anyway, looking pretty happy",-0.800000012,0.800000012
"其实电影的前一半还不错，欢乐又有内涵，后来越编越无味，最后的道歉部分使得电影完全脱节，极为生硬突兀。","In fact, the first half of the movie is not bad, joy and content, then the more editable and less tasteless, the final part of the apology made the movie completely out of touch, very abrupt.",0.800000012,-0.800000012
"其实这部电影挺有趣的，我只是受不了冯小刚那种自大的态度","In fact, this movie is very interesting, I just can not stand Feng Xiaogang arrogant attitude",0.800000012,-0.899999976
"冯导你老了 跟老谋子一样喜欢砸钱喜欢矫情了 里面最俗奖是给自己的吧","Feng guide you old like the same old man like throwing money like hypocrites inside the most vulgar prize is for yourself",0.800000012,-0.899999976
"冯导的电影是非真多，对时事的讽刺还是到位的，就是形式太像小品","Feng's film is not true, the irony of the current events or in place, is the form is too sketchy",0.899999976,-0.800000012
"冯小刚也就随便一拍的，真没必要戴那高大全的帽子，就一爆米花电影而已，反正我笑点低还真乐了，作为喜剧片比那泰囧强","Feng Xiaogang also just a beat, I really did not need to wear that tall hat, a popcorn movie, anyway, I laugh at the low really fun, as the comedy than that Thai 囧 strong",-0.800000012,0.800000012
"冯小刚没有了挥洒自如的喜笑怒骂，顽主和痞子们终于成了愤青和屌丝。","Feng Xiaogang no ease of abuse, rude and ruffian finally became angry youth and reeling.",0.800000012,-0.899999976
"冯小刚的反思制作，立意不错，可是拍的有点牵强晦涩，希望以后再接再厉","Feng Xiaogang's reflective production, good intentions, but the film is a bit far-fetched obscure, hoping to redouble their efforts",0.800000012,-0.800000012
"冲冯小刚拍这部电影的态度，值得往他脸上拉一泡屎","Feng Xiaogang shot the attitude of the film, it is worth pulling a feces to his face",0.899999976,-0.899999976
"几个故事完全生硬 笑点也不好笑 最后居然还来个环保主题的升华 泥垢啊！","Hard to laugh a few stories completely funny Finally, actually came to a sublimation of the theme of environmental protection dirt ah!",-0.800000012,0.800000012
"几小杯葡萄汁，很不新鲜","A few small cups of grape juice, very fresh",-0.800000012,0.899999976
"出乎意料的无味，但是演技真是赞，切换得好快。","Unexpected tasteless, but the acting is really like, switch fast.",0.899999976,-0.800000012
"刻意等过了舆论高峰期才看，比想象中的好一些，可惜冯导的诚意在这个时代，不奏效。","Deliberately waited for the peak period of public opinion to see, better than expected, but Feng's sincerity in this era does not work.",0.800000012,-0.800000012
"前半段还不错~讽刺的意味很重，最后的道歉有点多余了","The first half is not bad ~ sarcastic means heavy, the last apology a bit redundant",0.800000012,-0.800000012
"前面还行，最后道歉一节有点风格不搭。","In front of the line, the last section of a little apology style do not take.",0.899999976,-0.899999976
"剧情破碎,故作逼格,陈年老段,植入突兀,不知所云","Plot broken, so forced, old age, implanted abrupt, unintelligible",0.800000012,-0.899999976
"剧本不好，梗比较生硬，有点无厘头。","The script is not good, terrier stiffer, a bit nonsense.",0.800000012,-0.899999976
"单从最直接的观影感受来说，第一个故事不错，后面越来精神越涣散，最后一个道歉的地方更是没有达到导演的预期效果，心是好的，方式得改","From the most direct viewing experience, the first story is good, the more behind the spirit of the more scattered, the last place of apology is not up to the director's desired effect, the heart is good, the way to change",0.800000012,-0.899999976
