"Chinese.origin.data","Google.translated.data","Google.Chinese.sentiment.analysis.score.base.on.Chinese.origin.data.","Google.English.sentiment.analysis.score.base.on.Google.translated.data."
"[pc]有钱任性，没钱过敏","[pc] wealthy wayward, no money allergy",0.400000006,-0.5
"【三星】就记得冯后来气急败坏的在微博上说 你们都是装逼 ~","[Samsung] I remember Feng later angrily said on the microblogging that you are loading force ~",0.5,-0.600000024
"【以前挺接地气一导演 现在俩脚不沾地儿了】","【Previously connected to a director now both feet do not touch children】",0.300000012,-0.300000012
"【看过不记得剧情系列】一律三星。","[I can not read the plot series] all Samsung.",0.5,-0.400000006
"1、片子本身足够吸引我；2、回忆起来，自己还是错过了好多人；3、很想念某座城市，某个人","1, the film itself is enough to attract me; 2, memories, they still missed a lot of people; 3, miss a city, a person",0.800000012,-0.5
"1.5星约等于2星","1.5 stars is equal to 2 stars",0.5,-0.5
"1.年初我看过小时代.2.这是我今年看过最烂的电影","1. I read the early days of the year .2. This is the worst film I've seen this year",0.300000012,-0.300000012
"12.22橙天嘉禾，在西安看电影的机会不多了，虽然影片没什么意思。。","12.22 Golden days Golden Harvest, there is not much chance to watch a movie in Xi'an, although the film has no meaning. .",0.5,-0.600000024
"12.28 北京【最后的道歉略微震撼【阿弥陀佛","12.28 BEIJING [The last apology was slightly shocked [Amitabha",0.699999988,-0.600000024
"12月基本上是国产电影保护月，本来不想看，不过没有其他电影可看，只好看一下打发时间。导演是个好导演，不过片子很烂，不如看小品。","December is basically a domestic movie protection month, did not want to see, but no other movie to see, had to look at the pass time. Director is a good director, but the film sucks, it is better to look at sketches.",0.300000012,-0.5
"131228 居然打那麼低 愛唱反調的來了","131228 actually hit so low love to sing anti-tune came",-0.699999988,0.800000012
"140210很一般呃，意思不大（某人很快睡着了）（某人连看四天终于看完了。。。）","140210 Very ordinary uh, meaning not big (someone is asleep soon) (Someone even read the last four days ...)",0.600000024,-0.800000012
"1997年的冯小刚消失了，我很怀念他","Feng Xiaogang disappeared in 1997, I miss him very much",0.5,-0.400000006
"1分是给背景的 属实 另外1分给表现形式 没用","1 point is to the background of the other 1 points to the manifest form of useless",0.5,-0.899999976
"1旧瓶装新酒，葛优如今也沦落到如此了.2李小璐胸还挺大的.3俩女主角一个比一个丑","1 old bottle of new wine, Ge excellent now also reduced to such a .2 Li Xiaolu chest is quite big .3 two actress one to one ugly",-0.400000006,0.800000012
"1最后一段感觉跟前面格格不入的 虽然很有教育意义2片尾曲更有感觉诶","1 the last paragraph of feeling incompatible with the front although very educational 2 more songs feeling",0.699999988,-0.800000012
"1没整活儿，全是段子，和郭德纲现在的相声一样 2观众的标准肯定和专家不同，但通篇没让观众大笑就不对了 3公益部分绝对是强加上的，要是像植入广告那么用心也许会更好 4还好白百合的比基尼最后才出现，否则该不知道看什么了 5挺利尿的，一瓶可乐都没敢喝完","1 not a whole life, all the paragraphs, and Guo Degang now crosstalk 2 viewers standards certainly different from experts, but did not let the audience laughed right throughout the 3 public sector is absolutely imposed, if implanted ads Then the intention may be better 4 okay white lily bikini finally appeared, or do not know what to look for 5 a diuretic, a bottle of cola did not dare to drink",0.400000006,-0.899999976
"1般般，像甲方乙方","A general, like Party B Party",-0.400000006,0.5
"2013.12  厦门思明电影院 报复性一颗星","2013.12 Xiamen Siming cinema revenge a star",-0.699999988,0.300000012
"2013.12.23.658 好作,加上今天早上冯小刚的微博,在豆瓣每个人都可以当个所谓影评人的时代不知道他在喷谁,烂了就是烂了,拍的看起来振振有词,仔细想想就是表面上吓唬人","2013.12.23.658 Good work, plus Feng Xiaogang microblogging this morning, everyone in the watercress can be a so-called film critic who do not know who spray him, rotten is rotten, the film seems to be full of excitement, think carefully Is scare people on the surface",-0.899999976,0.5
"2013-12-18 多一颗星给苏州吧","2013-12-18 One more star to Suzhou bar",-0.5,0.400000006
"20131220，美嘉国际影城，团队建设看。因为期望值不高，所以看着还凑合，王朔的表达欲太强，不是专业编剧。","20131220, Monica International Cineplex, team building look. Because expectations are not high, so look okay, Wang Shuo's desire to be too strong, not a professional screenwriter.",0.5,-0.400000006
"2013年12月22日 上海七宝世纪沪星影城（大光明影城后面）和吴、金一起观看；四个故事，其实导演想通过幽默暗讽来表达现实中的一些问题，比如腐败和被腐败；高雅与庸俗；贫困和有钱；贪婪和环境问题等；幽默效果有，但是不是特别大；","December 22, 2013 Shanghai Qibao Century Shanghai Star Studios (behind the Big Bright Studios) and Wu and Kim watched together; the four stories, in fact, the director wanted to express some of the real problems of humor, such as corruption and being Corruption; elegance and vulgarity; poverty and money; greed and environmental issues, etc .; humor effect, but not particularly large;",0.5,-0.899999976
"2013年去电影院看过的最差的一部电影，没有之一。","One of the worst movies ever seen in cinema in 2013, none of them.",0.300000012,-0.899999976
"2013年最后一天去电影院看的，笑足整场（咱的笑点还真奇怪→_→）。。","The last day of 2013 to the cinema to see, full of laughter (we laugh really strange → _ →). .",-0.300000012,0.300000012
"2013年最后的一天和大灰狼去看了，大灰狼看着看着就睡着了，小兔子热的很想脱鞋子，结果就是电影一般，笑点不足。","The last day of 2013 and the wolf to see, watching the wolf fell asleep, the bunny wanted to take off his shoes hot, the result is the movie in general, lack of laughter.",-0.800000012,0.400000006
"2013年版的 甲方乙方     期待太高","Party A of the 2013 version expects too much",0.699999988,-0.300000012
"2013年过去了 我有点儿怀念它  和电影无关 和你有关 圣诞我们还在一起看电影 但天知道这是不是我和你一起看的最后一部电影","2013 is over I'm a little bit over it And it's nothing to do with the movie And you're about Christmas We're still watching movies But God knows it's not the last movie I see with you",0.5,-0.400000006
"2013年过去了，我一点儿也不怀念它","2013 passed, I do not miss it at all",-0.300000012,0.400000006
"2013最后一场电影 就为恶心画一句号吧","Let's take a look at the last movie of 2013.",-0.800000012,0.800000012
"2013最庸俗奖。","2013 most vulgar prize.",0.600000024,-0.5
"2013看过最烂的的电影了！就是一流水账到底。","2013 saw the worst movie ever! Is the first-class water in the end.",0.699999988,-0.300000012
"2014.03.11 结尾还伪造了一节日，额......","2014.03.11 the end also fake a holiday, the amount of ...",0.699999988,-0.699999988
"2014.12.2晚，消磨时间，平庸之作。","2014.12.2 evening, kill time, mediocre.",0.899999976,-0.699999988
"20140211，如果能够思考，如果电影真的不过是走马观花。那比较来比较去，评价来评价去，其实并没有什么意义。。","20140211, if you can think, if the movie is really nothing but cursory. That comparison to compare, evaluation to evaluate, in fact, does not make sense. .",0.5,-0.5
"2014年贺岁片，没有可圈可点的地方，也没有啥槽点，觉得比较平淡，也没乐呵到啥，可能兴奋点太高了，是我自己的问题","2014 Lunar New Year films, there is no remarkable place, there is no Gha point, I feel rather dull, no fun Oh, may be too excited, my own question",0.5,-0.899999976
"2分半 冯导的这部电影真不咋的","2 minutes and a half Fengyun this movie really not ye",0.300000012,-0.5
"2星半把，感觉就是小时候写作文写不好出来了，随便升华一下主题。。。","2 and a half stars, I feel that writing is not good as a child out of writing, casually sublimation theme. . .",0.5,-0.699999988
"2星半给最后环保短片","2 stars and a half to the last green short film",0.300000012,-0.400000006
"3.5 其实也没有说的那么差 电影续集很少有越拍越好的当然也不能总拿来跟甲方乙方相提并论 毕竟时代背景也已经相差很远了 虽然还是小品段子葛优大爷博观众一笑 白百合李小璐也挺养眼 但总想起别人说的一句 冯导现在高档起来 也不带着草根玩了 电影里的黑色幽默不知又幽默了谁一把","3.5 Actually did not say so poor Film sequels seldom shot the better, of course, can not always be compared with Party A Party background after all, the background has also been a long way away Although Ge is still a piece of Grandpa Bo audience laugh Lily Bai But seductive but always remembered someone said a Feng guide now upscale do not play with the grassroots movie in the black humor I do not know who is humorous",0.300000012,-0.800000012
"3.5 尤其喜欢雅过敏这桥段 还有最后一个笑话 道歉那段真的不知所云","3.5 especially like allergy this section there is a joke apologize that really unintelligible",0.400000006,-0.800000012
"3.5？ 王硕这故事不行，制作还不错。","3.5? Wang Shuo this story does not work, production is not bad.",0.400000006,-0.300000012
"3分给葛优，不如期待！","3 points to Ge You, it is better to look forward to!",-0.699999988,0.300000012
"3部微电影加一部公益广告。","3 micro-movie plus a public service ads.",0.400000006,-0.400000006
"4.1 不知道为什么想打高分 挺喜欢的商业片（45）.M 3.9","4.1 Do not know why you want to play high scores like commercials (45) .M 3.9",0.400000006,-0.800000012
"4'9 同友仔冒死去看的，嗯，don't do don't die。","4'9 With your friends risking to see, ah, do not do do not die.",0.5,-0.400000006
"5分是给葛优的，葛优还是那个葛优，看见我就想乐，看了我就心情好。.真特么莫名其妙。大过年的，想图个乐子就去吧，单纯点儿看这部电影，能逗一开心那也就算值了了。","5 points to Ge You, Ge You or that Ge You, I just want to see music, read I feel good. What is so special? Big New Year, would like to have fun to go, simply look at this movie, can amused a happy that even if the value of the.",-0.300000012,0.5
"5分正好 还多了0.4 把它拉下去","5 points just 0.4 more to pull it down",0.400000006,-0.300000012
"6-7分的样子，现在的评分不客观","6-7 points look, the current score is not objective",0.400000006,-0.300000012
"90后别看，坐在影院里简直尴尬。","Do not look after 90, sitting in the theater is simply awkward.",0.400000006,-0.899999976
"90年代的王朔整出了个10年代的本子 虽然笑料还停留在上世纪故事会的水平 好歹还算真诚","Wang Shuo in the 90s out of a 10-generation book Although jokes still remain at the level of the story of the last century, whatever the outcome, even fairly sincere",-0.300000012,0.300000012
