"Chinese.origin.data","Google.translated.data","Google.Chinese.sentiment.analysis.score.base.on.Chinese.origin.data.","Google.English.sentiment.analysis.score.base.on.Google.translated.data."
"12.28 北京【最后的道歉略微震撼【阿弥陀佛","12.28 BEIJING [The last apology was slightly shocked [Amitabha",0.699999988,-0.600000024
"131228 居然打那麼低 愛唱反調的來了","131228 actually hit so low love to sing anti-tune came",-0.699999988,0.800000012
"140210很一般呃，意思不大（某人很快睡着了）（某人连看四天终于看完了。。。）","140210 Very ordinary uh, meaning not big (someone is asleep soon) (Someone even read the last four days ...)",0.600000024,-0.800000012
"1最后一段感觉跟前面格格不入的 虽然很有教育意义2片尾曲更有感觉诶","1 the last paragraph of feeling incompatible with the front although very educational 2 more songs feeling",0.699999988,-0.800000012
"2013最后一场电影 就为恶心画一句号吧","Let's take a look at the last movie of 2013.",-0.800000012,0.800000012
"2014.03.11 结尾还伪造了一节日，额......","2014.03.11 the end also fake a holiday, the amount of ...",0.699999988,-0.699999988
"2014.12.2晚，消磨时间，平庸之作。","2014.12.2 evening, kill time, mediocre.",0.899999976,-0.699999988
"一上映就跑去看了 其实最后面的道歉 我还是比较认同的 至于前面的各种 感觉像是没有头绪 神龙见首不见尾  即便是想脱俗 但也还是个俗人 无所谓啦！","I ran to see the release of the last apology in fact, I still quite agree with the front as a variety of feeling like there is no clueless dragon see the beginning of the first sight, but even if they want to be refined, but it is still a laughetist it!",0.600000024,-0.600000024
"一个时间分配不均的创意电影，不过看了后人还是能有想法的。如果梦想真的是那么遥不可及的话，那么还是让它那么的遥不可及吧，因为短暂的实现，也是可怕的。","A time of uneven distribution of creative movies, but later people still have the idea to see. If the dream is really out of reach, then let it be so out of reach, because the short-term realization, but also terrible.",0.600000024,-0.600000024
"一周前看的 现已记得 有几个小点 但剧情确实不够深刻","A few weeks ago to see the remembered now a few small but the plot is not deep enough",0.800000012,-0.600000024
"一如既往厌恶冯小刚王朔的嘴脸","As always, disgusted with Feng Xiaogang Wang Shuo's face",0.699999988,-0.899999976
"一开始吃奶油觉得挺好味的，结果从头到尾都是奶油，一口鸡蛋糕都没吃到，腻死了。","I started eating cream that tastes very good, the results are cream from start to finish, a chicken cake have not eaten, tired of death.",-0.800000012,0.600000024
"一星冲葛优曾经的杨重","One-Star Gege excellent Yang heavy",-0.600000024,0.800000012
"一星给景色，一星给郑凯吧，没多大劲，真要说那比不二神探好一丢丢","A star to the scenery, a star to Zheng Kai it, not much strength, really want to say that it is better than a second detective",-0.699999988,0.600000024
"一星给葛大爷 一星给宋丹丹","A star to Ge uncle to Song Dandan",-0.600000024,0.699999988
"一点诚意都没有的片子，耍观众玩呢吧。","A little bit of sincerity of the film, the audience playing it.",-0.899999976,0.600000024
"一直想看没有高清的终于高清出来了看完了觉得不看也就那样","Always wanted to see no high-definition finally came out after watching do not look like it",0.899999976,-0.800000012
"一直看评论恶评如潮就没看，看了很有感触，大概我真的老了","Has been watching comments bad comments raging did not see, read a lot of feelings, probably I'm really old",0.899999976,-0.600000024
"一般   剧情性不强 感觉导演想表达的东西没有表现出来","General drama is not strong sense of what the director wanted to express did not show up",0.699999988,-0.699999988
"一般吧 很失望 翻拍的甲方乙方 前面看着还行 药匣子演的还不错 后面不知所云 感觉想深刻但不深刻 想喜剧但不喜剧 总体感觉尴尬 葛大爷的演技还是一样的棒 导演不知道这次在想什么","General bar is very disappointed with the remake of Party B in front of the line is also doing a good job in the box after the unknowingly deep feeling but do not deeply want to comedy but do not comedy feel embarrassed Ge uncle acting is still the same great director do not know this Times are thinking about what",0.800000012,-0.699999988
"一般吧，开头很精彩，结尾很糟心，虽然继续发扬了连讽刺再挖苦的优良美德，但牵强的结尾，不适当的煽情，过于夸张的表演，白瞎了公益广告，可惜了宋丹丹和李成儒","In general, the beginning is very good, very bad at the end, although continue to carry forward the satirical and even sarcastic virtues, but far-fetched end, inappropriate sensationalism, over-exaggerated performances, blind public service ads, but unfortunately Song Dandan and Li Chengru",0.699999988,-0.699999988
"一般般，真心的一般般！","General, sincere like!",-0.699999988,0.699999988
"一般般好笑吧，几个故事一起有点像微电影不像电影","General joke, a few stories a bit like a micro-movie is not like a movie",0.899999976,-0.600000024
"一部段子小品","A piece of scrap",0.600000024,-0.600000024
"一颗星给宋丹丹，一颗星给主题曲。","A star to Song Dandan, a star to the theme song.",-0.600000024,0.600000024
"一颗星给宋丹丹，一颗星给李小璐","A star to Song Dandan, a star to Li Xiaolu",-0.600000024,0.600000024
"一颗星给最后装模作样的结尾，一颗星给宋丹丹真我的演出。","A star to the last pretend model end, a star to Song Dandan really my performance.",-0.600000024,0.600000024
"一颗星给范伟，一颗星给丹丹","A star to Fan Wei, a star to Dandan",-0.699999988,0.600000024
