"data","lable"
0.100000001,"Chinese"
0,"Chinese"
0,"Chinese"
0.600000024,"Chinese"
0.200000003,"Chinese"
-0.200000003,"Chinese"
0.600000024,"Chinese"
0.600000024,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
-0.400000006,"Chinese"
0.100000001,"Chinese"
0.300000012,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.800000012,"Chinese"
0,"Chinese"
-0.400000006,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0,"Chinese"
-0.100000001,"Chinese"
0.5,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
-0.200000003,"Chinese"
-0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
-0.300000012,"Chinese"
-0.200000003,"Chinese"
0.100000001,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
-0.300000012,"Chinese"
-0.200000003,"Chinese"
0.200000003,"Chinese"
-0.300000012,"Chinese"
0.100000001,"Chinese"
-0.200000003,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0,"Chinese"
0.200000003,"Chinese"
-0.200000003,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
0.300000012,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0.400000006,"Chinese"
0.200000003,"Chinese"
0.200000003,"Chinese"
-0.300000012,"Chinese"
-0.100000001,"Chinese"
0,"Chinese"
0,"Chinese"
0.5,"Chinese"
-0.200000003,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
-0.200000003,"Chinese"
0.100000001,"Chinese"
-0.300000012,"Chinese"
-0.400000006,"Chinese"
0,"Chinese"
0.400000006,"Chinese"
-0.200000003,"Chinese"
-0.100000001,"Chinese"
0.200000003,"Chinese"
0.200000003,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
0.300000012,"Chinese"
-0.300000012,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.5,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.400000006,"Chinese"
-0.200000003,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
-0.899999976,"Chinese"
-0.800000012,"Chinese"
0,"Chinese"
0,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
0.600000024,"Chinese"
0.400000006,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0.400000006,"Chinese"
0.300000012,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
-0.800000012,"Chinese"
0.200000003,"Chinese"
-0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.5,"Chinese"
0.400000006,"Chinese"
0.600000024,"Chinese"
-0.5,"Chinese"
0,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
0.200000003,"Chinese"
-0.100000001,"Chinese"
0.100000001,"Chinese"
0.5,"Chinese"
0.100000001,"Chinese"
0.300000012,"Chinese"
0.400000006,"Chinese"
0.100000001,"Chinese"
-0.899999976,"Chinese"
0.800000012,"Chinese"
-0.300000012,"Chinese"
0.400000006,"Chinese"
-0.100000001,"Chinese"
0.300000012,"Chinese"
0.200000003,"Chinese"
0.600000024,"Chinese"
-0.699999988,"Chinese"
0.5,"Chinese"
0,"Chinese"
0.600000024,"Chinese"
0.100000001,"Chinese"
0.699999988,"Chinese"
0.200000003,"Chinese"
0.100000001,"Chinese"
0.300000012,"Chinese"
0.100000001,"Chinese"
-0.200000003,"Chinese"
0.200000003,"Chinese"
-0.899999976,"Chinese"
0.200000003,"Chinese"
-0.400000006,"Chinese"
-0.200000003,"Chinese"
0.600000024,"Chinese"
0,"Chinese"
0,"Chinese"
-0.699999988,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
-0.400000006,"Chinese"
0.300000012,"Chinese"
-0.100000001,"Chinese"
0.100000001,"Chinese"
0.200000003,"Chinese"
0.100000001,"Chinese"
0.699999988,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0,"Chinese"
0.5,"Chinese"
-0.200000003,"Chinese"
-0.400000006,"Chinese"
-0.200000003,"Chinese"
0.100000001,"Chinese"
0.400000006,"Chinese"
-0.699999988,"Chinese"
0.100000001,"Chinese"
-0.200000003,"Chinese"
0.400000006,"Chinese"
0.600000024,"Chinese"
-0.5,"Chinese"
0.400000006,"Chinese"
-0.200000003,"Chinese"
-0.200000003,"Chinese"
0,"Chinese"
-0.100000001,"Chinese"
-0.400000006,"Chinese"
-0.300000012,"Chinese"
-0.400000006,"Chinese"
0.5,"Chinese"
0,"Chinese"
-0.300000012,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.100000001,"Chinese"
-0.300000012,"Chinese"
0.200000003,"Chinese"
-0.400000006,"Chinese"
0.300000012,"Chinese"
-0.300000012,"Chinese"
-0.600000024,"Chinese"
-0.800000012,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
0.200000003,"Chinese"
0.200000003,"Chinese"
0.100000001,"Chinese"
0.300000012,"Chinese"
-0.699999988,"Chinese"
-0.200000003,"Chinese"
0,"Chinese"
0.800000012,"Chinese"
-0.300000012,"Chinese"
-0.699999988,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.5,"Chinese"
0,"Chinese"
0.100000001,"Chinese"
0.5,"Chinese"
0,"Chinese"
0.5,"Chinese"
-0.400000006,"Chinese"
0.100000001,"Chinese"
-0.5,"Chinese"
-0.300000012,"Chinese"
0.200000003,"Chinese"
0,"Chinese"
-0.200000003,"Chinese"
-0.100000001,"Chinese"
0.100000001,"Chinese"
0,"Chinese"
0.300000012,"Chinese"
0,"Chinese"
-0.100000001,"Chinese"
0.300000012,"Chinese"
0,"Chinese"
-0.200000003,"Chinese"
-0.400000006,"Chinese"
0.400000006,"Chinese"
0.100000001,"Chinese"
