"","sententChinese","sententGoogleTranslation","sententYandexTranslation","sententbaiduTranslation","areaCode"
"1","2013最后一场电影 就为恶心画一句号吧","Let's take a look at the last movie of 2013.","NULL","NULL",70
"2","个人意见，如果想看的同学们可以去买各种打折团购之类的票，因为真心不值票价","Personal opinion, if you want to see the students can buy all kinds of discount buy tickets, because the true worthless fare","NULL","NULL",70
"3","为贪污腐败和商业大俗片辩护的一部元素太多深度太浅的电影。","An element too deep and too shallow to justify corruption and commercial tyranny.","NULL","NULL",70
"4","亮点不够多，三个故事之间有衔接会更好～","Not enough highlights, there will be a better link between the three stories ~","NULL","NULL",70
"5","其实我不想打这么高分的，在我眼里7.0-7.5算是合适的分数，只不过看到现在的豆瓣评分太缺乏真实性了，这部电影还是有笑点，有想法，有些许感动，觉不至于这么低分","In fact, I do not want to play such a high score, in my opinion 7.0-7.5 be considered a suitable score, but to see the current watercress score is too lacking in authenticity, the film is still funny, have ideas, a little touched, Feel so low score","NULL","NULL",70
"6","其实片子没你们说的那么难看，只是冯小刚想表达的东西太多了，反正看着还算开心","In fact, the film did not you say so ugly, but Feng Xiaogang want to express too many things, anyway, looking pretty happy","NULL","NULL",70
"7","冯导的电影是非真多，对时事的讽刺还是到位的，就是形式太像小品","Feng's film is not true, the irony of the current events or in place, is the form is too sketchy","NULL","NULL",70
"8","冯小刚也就随便一拍的，真没必要戴那高大全的帽子，就一爆米花电影而已，反正我笑点低还真乐了，作为喜剧片比那泰囧强","Feng Xiaogang also just a beat, I really did not need to wear that tall hat, a popcorn movie, anyway, I laugh at the low really fun, as the comedy than that Thai 囧 strong","NULL","NULL",70
"9","冯小刚没有了挥洒自如的喜笑怒骂，顽主和痞子们终于成了愤青和屌丝。","Feng Xiaogang no ease of abuse, rude and ruffian finally became angry youth and reeling.","NULL","NULL",70
"10","冯小刚的反思制作，立意不错，可是拍的有点牵强晦涩，希望以后再接再厉","Feng Xiaogang's reflective production, good intentions, but the film is a bit far-fetched obscure, hoping to redouble their efforts","NULL","NULL",70
"11","冲冯小刚拍这部电影的态度，值得往他脸上拉一泡屎","Feng Xiaogang shot the attitude of the film, it is worth pulling a feces to his face","NULL","NULL",70
"12","几个故事完全生硬 笑点也不好笑 最后居然还来个环保主题的升华 泥垢啊！","Hard to laugh a few stories completely funny Finally, actually came to a sublimation of the theme of environmental protection dirt ah!","NULL","NULL",70
"13","几小杯葡萄汁，很不新鲜","A few small cups of grape juice, very fresh","NULL","NULL",70
"14","出乎意料的无味，但是演技真是赞，切换得好快。","Unexpected tasteless, but the acting is really like, switch fast.","NULL","NULL",70
"15","前面还行，最后道歉一节有点风格不搭。","In front of the line, the last section of a little apology style do not take.","NULL","NULL",70
"16","反贪主题倒是还好，但是电影毫无吸引力，最后的结局也是生硬....","The anti-corruption theme is actually okay, but the movie is unattractive and the final outcome is blunt.","NULL","NULL",70
