"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
40,"13版甲方乙方。","Party A of Party A of the 13 edition.",0.211053
40,"16年后的甲方乙方2   白百合怎么看怎么做作","16 years later, Party A Party B, Party B, 2 White Lily how to see how to do it",0.208362
40,"一部贺岁片不就是大家乐呵乐呵就够了吗？要啥自行车？","A new year's film is not enough for everyone. What bike do you want?",0.203398
40,"一颗星给百何，一颗星给小璐，一颗星给丹丹。总体而言没有捧腹大笑，只有会心一笑。最后一颗星给感动到我的桥段。总体，很爱！","A star to 100 Ho, a star to the small Lu, a star to daniel. Not only the overall uproarious laughter. The last one to move to my plot. In general, love!",0.184038
40,"为什么那么挑剔  就算和甲方乙方模式一样又怎样呢  恶意攀比","Why is it so critical, even if it is the same as Party A's Party B mode?",0.207615
40,"为嘛分这么低  品味都高了？","Why is it so low in such a low taste?",0.21334
40,"会不会是甲方乙方？？！","Will it be Party A Party B??",0.175396
40,"作为甲方乙方的续集来看的，真心不觉得有大家说得那么差","As Party A's continuation of Party B, I do not feel so bad that everyone is so bad.",0.191185
40,"你有一百万 你愿意捐给别人吗 愿意.你有一千万 你愿意捐给别人吗 愿意.你有一亿     你愿意捐给别人吗 愿意.那你有一辆车 你愿意捐给别人吗 不愿意.为什么 因为我真的有一辆车","Do you have one million? Are you willing to donate to others? Yes, you are willing. Do you have ten million? Are you willing to donate to others? Do you want to? Do you have one hundred million? Are you willing to donate to others? Do you want to? Then you have a car, do you want to donate to others? Why not? Why? Because why do I have a car?",0.0636326
40,"刚去过海南，很有代入感。豆瓣上文艺高雅青年真是多啊！都没看懂他们在吐什么槽，没那么烂吧，贺岁片不就图个乐吗？最后一段心灵鸡汤又怎么了，难道我们不该向大自然道歉吗？？","I have just been to Hainan, and there is a sense of substitution. It's so much more elegant and elegant young people on the bean. Do not understand what they are spitting in the slot, not so bad, the new year's film is not a picture of music? What's wrong with the last piece of chicken soup? Shouldn't we apologize to nature?",0.19534
40,"十几年前，老爸带我去看甲方乙方，十几年后我带老爸看私人定制，起码老爸喜欢，感情分加一星","A dozen years ago, my father took me to see Party A Party B, and after more than ten years I took my father to see the personal custom. At least my father liked it, and the feelings were added to one star.",0.178249
40,"升级版甲方乙方，道歉那段莫名其妙，想教育观众也别糟蹋电影","Party A to upgrade Party A Party B, apology is indescribable, want to educate the audience do not waste the film",0.195485
40,"博观众一乐，有哪里不好？","A great audience, what's wrong with it?",0.219416
40,"可以看做甲方乙方的姊妹篇 但是没有甲方乙方那么用心 有一定的现实意义 最后的高大上主题没那么有趣反而有点成了败笔  看片之前被打了一万针预防针说特别次 但是看完之后 觉得还行 没那么次","A companion can be seen as Party B but not Party B so hard to have a certain practical significance finally tall but not so interesting theme before a failure to see the film was played ten thousand times but said special needle needle after reading feel less time",0.13473
40,"哈哈哈，我觉得好好笑啊，整个剧场都high爆掉了，难道是我们集体笑点低？？？我很喜欢！！！！！！！","Hahaha, I think it's funny, the entire theater is high burst, is it our collective laugh a little low??? I like it so much！！！！！！！",0.164991
40,"图一乐的事，说不好看的人得多矫情啊你们！！难得冯小刚还算是个会讲故事的导演，还有啥好黑的啊你们","A happy thing, not good-looking people far more hypocritical you ah!! It's hard for Feng Xiaogang to be a story - telling director. What's so dark?",0.171036
40,"好好干 回头哥给你找一嫂子。看人家说的那么烂我都不好意思打分了，比起甲方乙方是差那么点 不过我给你 四星 @龚小小小盼","Go back to your brother and give you a sister-in-law. It's so embarrassing to see what people say, I'm so embarrassed that it's a little worse than Party A, but I give you four stars @ Gong Xiaoxiao.",0.156449
40,"对于甲方乙方几乎没什么印象 所以对这部也就没那么大意见 单论好笑的话还是有笑点的 三贴近应该算做到了哈哈 所以四星","For Party A, Party B has almost no impression, so there is no such big opinion for this part. The three closeness of laughs should be done.",0.146084
40,"导演自己已经讲了是甲方乙方二，作为一部贺岁片，还是可以给人带来欢乐的。葛优、范伟、宋丹丹的表演都恰到好处。还不错。","The director himself has said that Party A is Party A Party B two. As a new year's film, it can bring joy to people. The performances of Ge You, Wei Fan and Song Dandan are all right. Not bad。",0.159865
40,"尖刻刻意版甲方乙方，所以看着有那么些违和，不过如果是初出茅庐的新人来拍这么个意有所指的片子还在结尾加那么装X而不知所云的桥段的话，大家会以为初生牛犊不怕虎而打高分吧。。。","A deliberate version of Party B, so watch that molimen, but if it is a green hand to shoot this a new meaning of the film was so loaded end with X and double bridge, everyone will think fearless and high marks...",0.139906
