"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
20,"........冯小刚？？？","........ Feng Xiaogang? ? ?",0.190177
20,"……………………","……………………",0.285157
20,"………………………………","………………………………",0.260285
20,"1.亮点在第一段，刚想钦佩下讽刺现实的力度，结果发现妈的是在绕着弯子唱赞歌，难怪没被毙 2.炒冷饭还炒的的这么差劲 3.谈不了雅你就以为是俗了吗，傻逼才喜闻乐见呢，还好意思出来口角 4.高票房再次验证中国观众的贱 5.恶心别人，成全自己。","1. Highlights In the first paragraph, just want to admire the reality of irony under the intensity of the results found that the mother is singing a song around the bend, no wonder not killed 2. Fried fried fried so bad 3. No you can not think Ya Is it vulgar, silly just love to see it, okay out of the mouth out of 4. High box office again verify the Chinese audience cheap 5. Disgusting others, fulfill their own.",0.287901
20,"1.好多镜头在苏州拍的.2.几个故事没什么联系.3.最后的环保宣传莫名其妙.5分 2015.02.03","1. A lot of shots in Suzhou .2. There is no connection between several stories .3. The last green propaganda inexplicable .5 2015.02.03",0.24647
20,"1算不上是一部完整电影 2第一个故事具有说服力和讽刺意味 3后面两个故事很牵强 4非常厌恶最后的环保说教，电影就是电影，如果仅仅用说教的方式呼吁大家环保那也太低级了 5有一定笑点 如果只是想笑  这电影值得一看 6电影不是小品不是恶搞的段子  冯小刚显然只是想骗钱","1 is not a complete movie 2 The first story is convincing and ironic 3 behind the two stories are far-fetched 4 very repugnant The last environmental preaching, the movie is a movie, if only by way of preaching to say that everyone is environmentally friendly Too low a 5 have a certain smile If you just want to laugh at this movie is worth a look 6 movie is not a scrapbook is not spoof of the paragraph Feng Xiaogang apparently just want to get money",0.230322
20,"5分 题材跟甲方乙方有什么区别??还越拍越差","5 points with Party A Party B What is the difference ?? Still more shot worse",0.223999
20,"5段故事：1-10分，监狱；10-46分，清官梦；46-77分，雅俗辩；77-97分，有钱人的一天；97-110分，向阳光、森林、草原、江河道歉。主题到底是啥，主角心理、情感、动机是啥？独白是不是太多了？","5 stories: 1-10 points, prison; 10-46 minutes, honest government dream; 46-77 points, elegant and popular debate; 77-97 points, a rich day; 97-110 points to the sun, forests, grasslands, River apology. What is the theme in the end, the protagonist psychology, emotion, motivation is what? Monologue is not too much?",0.257226
20,"tm烂俗","tm 烂 俗",0.152804
20,"wtf??????????????????咱还不如去看高德的游戏！！！！！！！","wtf ????????????????? We might as well see Goode's game! ! ! ! ! ! !",0.0372746
20,"一：植入广告太明显.二：俗不俗雅不雅.三：没有地气.四：逗您玩.五：解闷可以看看","A: implanted advertising is too obvious. Two: vulgar decent elegance. Three: no gas. Four: funny you play.",0.254987
20,"一个司机有那么多钱？电影有太多bug了，垃圾得不忍直视","A driver has so much money? Movie has too many bugs, rubbish could not bear to look straight",0.186637
20,"一个字，乱！想讽刺社会的各种现象，却让人毫无头绪！","A word, chaos! Want to satire various social phenomena, but people have no idea!",0.262023
20,"一个字，乱。用电影的话就是 成全别人，恶心自己。两星给时间都去哪儿了","A word, chaos. Use movie words is to fulfill others, disgusting themselves. Where are the two stars going for time?",0.21141
20,"一个字，俗；两个字，很俗。如果就为了票房或者什么人情而拍个电影，你他妈滚蛋。。。蛋。。。","A word, vulgar; two words, very vulgar. If you make a movie for the box office or what kind of personhood, you'll get out of bed. . . egg. . .",0.256807
20,"一个导演带着一群优秀的演员拍了一部小成本的电影，剧本放在十年前还略有创意，可现在看来还是稍缺诚意。。","A director took a small-budget movie with a group of good actors. The script was a little creative a decade ago, but now it seems a bit less sincere. .",0.288679
20,"一个说相声的，非要天天努着劲儿搞诗歌朗诵，自己不累观众看着都累，何必呢","A comic dialogue, non-daily efforts to engage in poetry recitation, not tired of watching their tired, why?",0.221736
20,"一分给宋丹丹那段的煽情，一分给王铮亮的歌","A song to Song Dandan sensational during that period, a song to Wang Zhengliang",0.283899
20,"一分给并不出彩的葛大爷，一分给宋丹丹，一根给李成儒，一分留给我买的华谊股票，白百合减一分，李小璐减一分，大家算吧","A point to the color is not outstanding Ge Grandpa, a minute to Song Dandan, a to Li Chengru, a share reserved for me to buy Huayi shares, a reduction of one hundred lily, Li Xiaolu one point, we forget it",0.247068
20,"一分给甲方乙方，一分给宋丹丹","A party to Party B, a minute to Song Dandan",0.276088
20,"一分给白百合，一分给陪我看电影的人。 全剧都感觉这是没得拍了在凑时间么，噱头创造了好多，股价也涨了好多，如果这是你们的希望，那我只能说，干的漂亮！","A white lily, a minute to accompany me to watch the movie. The whole play feel it is not patted in Minato time, gimmicks to create a lot, the stock has risen a lot, if this is your hope, then I can only say that dry pretty!",0.292404
20,"一分送给葛大爷……一分送给天浴女……","A generous to Ge Ge ... ... a bath for women ... ...",0.140807
20,"一句话，什么jb玩意。","A word, what jb stuff.",0.293429
20,"一句话总结，太令我失望了................","A sentence summary, so I am disappointed ................",0.132944
20,"一场YY的梦，到底成全了谁恶心了谁。时间都去哪了？","A YY's dream, in the end who who disgusted. Where's the time?",0.279904
20,"一堆刻意牵强的笑点，还有剧尾毫无联系的公益广告，简直不知所云","A bunch of deliberately forced joke, there is no connection to the public service ads, simply do not know what to say",0.26475
20,"一声叹息。。","A sigh. .",0.266257
20,"一声叹息。。。","A sigh. . .",0.235801
20,"一声叹息。。。在影院随便笑笑吧。。","A sigh. . . Just laugh in the theater. .",0.2499
20,"一帮明星过戏瘾。生活进步了，可怎么连话都不会说了呢？","A bunch of stars play addiction. Life has progressed, but how can I not speak?",0.24732
20,"一开篇感觉就跟甲方乙方似的，三个片段，以第一段时间最长，，感觉这样的片子用来演话剧、小品或情景剧更合适。","A start feeling just like Party B Party B, three segments, the longest period of the first period, I feel such a film used to play drama, sketch or melodrama more appropriate.",0.253792
20,"一星：过去的情分。一星：辛苦分儿。本来还可以有一星，被小炮自个儿轰掉了。","A star: the past sentiment. A star: hard points. There could have been a star, was a small gun bang off.",0.173633
20,"一星李成儒，一星范伟。","A star Li Chengru, a star Fan Wei.",0.282878
20,"一星给MINI，一星给月饼里面的钞票···","A star to MINI, a star to the mooncake inside the banknotes ...",0.222491
20,"一星给公益广告，一星给范伟。","A star to public service ads, a star to Fan Wei.",0.251628
20,"一星给冯导，一星给一起看的小伙伴","A star to Feng guide, a star to see a small partner",0.253813
20,"一星给冯小刚，一星给葛优。李小璐露豪乳，真的吗？白百合最后也有露沟，真有这么大吗？","A star to Feng Xiaogang, a star to Ge You. Li Xiaolu dew milk, really? White lily finally have dew, really so big?",0.123606
20,"一星给勇于出境的范伟，一星给唯一让我哈哈大笑的李小璐: 不会跳水的，拍那一下疼么？","A star to the courage to leave the Fan Wei, a star to laugh at me the only Li Xiaolu: Do not dive, and that what pain it?",0.226646
20,"一星给回忆，一星给自然","A star to memories, a star to nature",0.285981
20,"一星给宋丹丹 一星给王铮亮唱的歌。恶心自己，成全别人。真心恶心我了。","A star gave Song Dandan a song sung by Wang Zhengliang. Disgust yourself, fulfill others. Really disgusted me.",0.242701
20,"一星给宋丹丹，一星给时间都去哪了","A star to Song Dandan, a star to where the time have gone",0.285652
20,"一星给宋丹丹，一星给最后的公益片。","A star to Song Dandan, a star to the last charity film.",0.261404
20,"一星给宋丹丹一星给郑恺 不能更高了 什么玩意儿啊","A star to Song Dandan Zheng Kai can not be a higher star anything",0.287791
20,"一星给宋丹丹和范伟，一星给葛优。太难看了，看不下去！强忍着好奇心看完，完全是想证明是不是真那么烂！完全笑不出来！说升级版的甲方乙方也太恶心甲方乙方了吧！完全看不到一点诚意！充斥着广告！冯导歇了吧。","A star to Song Dandan and Fan Wei, a star to Ge You. Too ugly, can not stand it! Endure curiosity read, entirely to prove that is not so bad! Completely laughed! Party B, said an upgraded version of the party is too disgusting Party B Party bar now! I can not see any sincerity! Full of ads! Feng guide rest it.",0.13298
20,"一星给摄像师，一星给最后2分钟","A star to the cameraman, a star to the last 2 minutes",0.292416
20,"一星给摄影 一星给灯光 小刚导演为什么要这么玩电影要这么玩观众 有意思吗","A star to the light of a photo director Xiaogang Why do you want to play the movie so interesting audience do it",0.241762
20,"一星给景色，一星给郑凯吧，没多大劲，真要说那比不二神探好一丢丢","A star to the scenery, a star to Zheng Kai it, not much strength, really want to say that it is better than a second detective",0.242104
