"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
40,"，戏谑现实却不忘给予希望；讽刺问题又不忘回顾根源。挺好看，挺深刻，挺让人反省一把社会。官员腐败群众狠，行贿的是谁；嫌弃电影电视俗，捧红它们的是谁；富的向往，会不会丢了平和的生活；我们抱怨环境差，这环境都是谁给糟尽的？鲁迅先生说的好：被吃的也是吃人的啊~~",", Joking reality but did not forget to give hope; ironic problems do not forget to recall the roots. Very nice, very profound, very reminiscent of a community. Corrupt officials who ruthless, who is bribery; Despise the movie and television custom, who is winning them; rich yearning, will not be losing a peaceful life; we complain about the environment is poor, who is bad to this environment? Mr. Lu Xun said good: is eaten also eat ah ~ ~",0.952261
40,"、、大牌微电影合辑",",, big-name micro-film compilation",1
40,"【刘蓓何冰不是谁都可以替代的！】第一个故事负责搞笑，第二个负责自嘲，第三个负责煽情。够谐虐。最后的倾情奉献过了啊过了，好好的喜剧片不用升华主题嘛～几个穿插的小剧场很出彩。脑残分二刷归来我会说么～","[Liu Bei ice anybody can replace it! 】 The first story is responsible for funny, the second responsible for self-deprecating, the third responsible for sensationalism. Harmful enough. The last dedication dedication over ah, do not sublimate good comedy theme Well ~ a few interspersed little theater is very good. Brain residual points two brush return I will say ~",0.940044
40,"2014.02.15","2014.02.15",1
40,"2014.12.31","2014.12.31",1
40,"2014.8.5","2014.8.5",1
40,"2015.8.31","2015.8.31",1
40,"haixingba","haixingba",1
40,"ironically","ironically",1
40,"jiew","jiew",1
40,"不真实","Not true",1
40,"不知为何这部影片的评价这么低，在电影院感受冯氏的黑色幽默还不错，很接地气，跟甲方乙方换汤不换药。。可能观众的口味上去了~不过我看的还蛮爽的，也不觉得有多烂，王朔是编剧，确实从头到尾的讽刺，只是觉得结尾衔接的不是很好，怎么能很突然地跳跃到环保和道歉的领域，PS:结尾羽泉的歌曲蛮赞的啊~","I do not know why the evaluation of this film is so low, in the cinema feel Feng's black humor is not bad, it is connected with the gas, with the Party B Party not change medicine. . Maybe the taste of the audience up ~ But I look pretty cool, do not feel bad, Wang Shuo is a screenwriter, indeed irony from start to finish, but think the end of convergence is not very good, how can a very sudden jump to Environmental protection and apology in the area, PS: ending yuquan song quite like ah ~",0.949029
40,"严肃着的喜剧","Serious comedy",1
40,"乐子","Fun child",1
40,"价值观广告片","Value commercials",1
40,"俗，好看","Vulgar, good-looking",1
40,"俗细胞恶性扩散","Popular cells malignant proliferation",1
40,"值得回味","Worth aftertaste",1
